Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
"lumenred-ember-s-full-body-panel-11","Lumenred Ember S Full Body Panel","<p>Lumenred Ember S Full Body Panel delivers clinical-style red and near-infrared coverage with 660/810/850nm diodes, 750 LEDs, and roughly 300W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/810/850nm</li><li>LEDs: 750</li><li>Power: 300W</li><li>Size: 36"" × 18""</li><li>Finish: Arctic White</li></ul>","Lumenred","Full Body Panels","full-body-panels, 660/810/850nm, panel, full-body","TRUE","Finish","Arctic White","LR-0011","2500","shopify","25","deny","manual","2039.00","2284.00","TRUE","TRUE","active"
"lumenred-lattice-m-full-body-panel-12","Lumenred Lattice M Full Body Panel","<p>Lumenred Lattice M Full Body Panel delivers clinical-style red and near-infrared coverage with 630/660/810/850nm diodes, 795 LEDs, and roughly 318W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/810/850nm</li><li>LEDs: 795</li><li>Power: 318W</li><li>Size: 42"" × 20""</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Full Body Panels","full-body-panels, 630/660/810/850nm, panel, full-body","TRUE","Finish","Matte Graphite","LR-0012","2500","shopify","25","deny","manual","2189.00","2452.00","TRUE","TRUE","active"
"lumenred-forge-l-full-body-panel-13","Lumenred Forge L Full Body Panel","<p>Lumenred Forge L Full Body Panel delivers clinical-style red and near-infrared coverage with 660nm diodes, 840 LEDs, and roughly 336W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660nm</li><li>LEDs: 840</li><li>Power: 336W</li><li>Size: 48"" × 16""</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Full Body Panels","full-body-panels, 660nm, panel, full-body","TRUE","Finish","Brushed Steel","LR-0013","2500","shopify","25","deny","manual","2219.00","2485.00","TRUE","TRUE","active"
"lumenred-pulse-xl-full-body-panel-14","Lumenred Pulse XL Full Body Panel","<p>Lumenred Pulse XL Full Body Panel delivers clinical-style red and near-infrared coverage with 850nm diodes, 885 LEDs, and roughly 354W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 850nm</li><li>LEDs: 885</li><li>Power: 354W</li><li>Size: 54"" × 18""</li><li>Finish: Soft Black</li></ul>","Lumenred","Full Body Panels","full-body-panels, 850nm, panel, full-body","TRUE","Finish","Soft Black","LR-0014","2500","shopify","25","deny","manual","2369.00","2653.00","TRUE","TRUE","active"
"lumenred-aura-pro-full-body-panel-15","Lumenred Aura Pro Full Body Panel","<p>Lumenred Aura Pro Full Body Panel delivers clinical-style red and near-infrared coverage with 660/850nm diodes, 930 LEDs, and roughly 372W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/850nm</li><li>LEDs: 930</li><li>Power: 372W</li><li>Size: 60"" × 20""</li><li>Finish: Arctic White</li></ul>","Lumenred","Full Body Panels","full-body-panels, 660/850nm, panel, full-body","TRUE","Finish","Arctic White","LR-0015","2500","shopify","25","deny","manual","2519.00","2821.00","TRUE","TRUE","active"
"lumenred-vertex-s-full-body-panel-16","Lumenred Vertex S Full Body Panel","<p>Lumenred Vertex S Full Body Panel delivers clinical-style red and near-infrared coverage with 630/660/850nm diodes, 975 LEDs, and roughly 390W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/850nm</li><li>LEDs: 975</li><li>Power: 390W</li><li>Size: 36"" × 16""</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Full Body Panels","full-body-panels, 630/660/850nm, panel, full-body","TRUE","Finish","Matte Graphite","LR-0016","2500","shopify","25","deny","manual","2549.00","2855.00","TRUE","TRUE","active"
"lumenred-halo-m-full-body-panel-17","Lumenred Halo M Full Body Panel","<p>Lumenred Halo M Full Body Panel delivers clinical-style red and near-infrared coverage with 660/810/850nm diodes, 1020 LEDs, and roughly 408W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/810/850nm</li><li>LEDs: 1020</li><li>Power: 408W</li><li>Size: 42"" × 18""</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Full Body Panels","full-body-panels, 660/810/850nm, panel, full-body","TRUE","Finish","Brushed Steel","LR-0017","2500","shopify","25","deny","manual","2699.00","3023.00","TRUE","TRUE","active"
"lumenred-stride-l-full-body-panel-18","Lumenred Stride L Full Body Panel","<p>Lumenred Stride L Full Body Panel delivers clinical-style red and near-infrared coverage with 630/660/810/850nm diodes, 1065 LEDs, and roughly 426W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/810/850nm</li><li>LEDs: 1065</li><li>Power: 426W</li><li>Size: 48"" × 20""</li><li>Finish: Soft Black</li></ul>","Lumenred","Full Body Panels","full-body-panels, 630/660/810/850nm, panel, full-body","TRUE","Finish","Soft Black","LR-0018","2500","shopify","25","deny","manual","2849.00","3191.00","TRUE","TRUE","active"
"lumenred-nova-xl-full-body-panel-19","Lumenred Nova XL Full Body Panel","<p>Lumenred Nova XL Full Body Panel delivers clinical-style red and near-infrared coverage with 660nm diodes, 1110 LEDs, and roughly 444W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660nm</li><li>LEDs: 1110</li><li>Power: 444W</li><li>Size: 54"" × 16""</li><li>Finish: Arctic White</li></ul>","Lumenred","Full Body Panels","full-body-panels, 660nm, panel, full-body","TRUE","Finish","Arctic White","LR-0019","2500","shopify","25","deny","manual","2879.00","3224.00","TRUE","TRUE","active"
"lumenred-ridge-pro-full-body-panel-20","Lumenred Ridge Pro Full Body Panel","<p>Lumenred Ridge Pro Full Body Panel delivers clinical-style red and near-infrared coverage with 850nm diodes, 1155 LEDs, and roughly 462W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 850nm</li><li>LEDs: 1155</li><li>Power: 462W</li><li>Size: 60"" × 18""</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Full Body Panels","full-body-panels, 850nm, panel, full-body","TRUE","Finish","Matte Graphite","LR-0020","2500","shopify","25","deny","manual","3029.00","3392.00","TRUE","TRUE","active"
"lumenred-vertex-desk-panel-1","Lumenred Vertex Desk Panel 1","<p>Lumenred Vertex Desk Panel 1 delivers clinical-style red and near-infrared coverage with 660nm diodes, 60 LEDs, and roughly 30W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660nm</li><li>LEDs: 60</li><li>Power: 30W</li><li>Size: 12"" × 8""</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Desktop & Mid-Size","desktop-panels, 660nm, desktop, compact","TRUE","Finish","Brushed Steel","LR-0021","2500","shopify","25","deny","manual","249.00","286.00","TRUE","TRUE","active"
"lumenred-halo-desk-panel-2","Lumenred Halo Desk Panel 2","<p>Lumenred Halo Desk Panel 2 delivers clinical-style red and near-infrared coverage with 850nm diodes, 72 LEDs, and roughly 36W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 850nm</li><li>LEDs: 72</li><li>Power: 36W</li><li>Size: 14"" × 9""</li><li>Finish: Soft Black</li></ul>","Lumenred","Desktop & Mid-Size","desktop-panels, 850nm, desktop, compact","TRUE","Finish","Soft Black","LR-0022","2500","shopify","25","deny","manual","284.00","","TRUE","TRUE","active"
"lumenred-stride-desk-panel-3","Lumenred Stride Desk Panel 3","<p>Lumenred Stride Desk Panel 3 delivers clinical-style red and near-infrared coverage with 660/850nm diodes, 84 LEDs, and roughly 42W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/850nm</li><li>LEDs: 84</li><li>Power: 42W</li><li>Size: 16"" × 10""</li><li>Finish: Arctic White</li></ul>","Lumenred","Desktop & Mid-Size","desktop-panels, 660/850nm, desktop, compact","TRUE","Finish","Arctic White","LR-0023","2500","shopify","25","deny","manual","319.00","367.00","TRUE","TRUE","active"
"lumenred-nova-desk-panel-4","Lumenred Nova Desk Panel 4","<p>Lumenred Nova Desk Panel 4 delivers clinical-style red and near-infrared coverage with 630/660/850nm diodes, 96 LEDs, and roughly 48W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/850nm</li><li>LEDs: 96</li><li>Power: 48W</li><li>Size: 18"" × 8""</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Desktop & Mid-Size","desktop-panels, 630/660/850nm, desktop, compact","TRUE","Finish","Matte Graphite","LR-0024","2500","shopify","25","deny","manual","354.00","","TRUE","TRUE","active"
"lumenred-ridge-desk-panel-5","Lumenred Ridge Desk Panel 5","<p>Lumenred Ridge Desk Panel 5 delivers clinical-style red and near-infrared coverage with 660/810/850nm diodes, 108 LEDs, and roughly 54W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/810/850nm</li><li>LEDs: 108</li><li>Power: 54W</li><li>Size: 12"" × 9""</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Desktop & Mid-Size","desktop-panels, 660/810/850nm, desktop, compact","TRUE","Finish","Brushed Steel","LR-0025","2500","shopify","25","deny","manual","389.00","447.00","TRUE","TRUE","active"
"lumenred-solace-desk-panel-6","Lumenred Solace Desk Panel 6","<p>Lumenred Solace Desk Panel 6 delivers clinical-style red and near-infrared coverage with 630/660/810/850nm diodes, 120 LEDs, and roughly 60W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/810/850nm</li><li>LEDs: 120</li><li>Power: 60W</li><li>Size: 14"" × 10""</li><li>Finish: Soft Black</li></ul>","Lumenred","Desktop & Mid-Size","desktop-panels, 630/660/810/850nm, desktop, compact","TRUE","Finish","Soft Black","LR-0026","2500","shopify","25","deny","manual","424.00","","TRUE","TRUE","active"
"lumenred-axiom-desk-panel-7","Lumenred Axiom Desk Panel 7","<p>Lumenred Axiom Desk Panel 7 delivers clinical-style red and near-infrared coverage with 660nm diodes, 132 LEDs, and roughly 66W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660nm</li><li>LEDs: 132</li><li>Power: 66W</li><li>Size: 16"" × 8""</li><li>Finish: Arctic White</li></ul>","Lumenred","Desktop & Mid-Size","desktop-panels, 660nm, desktop, compact","TRUE","Finish","Arctic White","LR-0027","2500","shopify","25","deny","manual","459.00","528.00","TRUE","TRUE","active"
"lumenred-ember-desk-panel-8","Lumenred Ember Desk Panel 8","<p>Lumenred Ember Desk Panel 8 delivers clinical-style red and near-infrared coverage with 850nm diodes, 144 LEDs, and roughly 72W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 850nm</li><li>LEDs: 144</li><li>Power: 72W</li><li>Size: 18"" × 9""</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Desktop & Mid-Size","desktop-panels, 850nm, desktop, compact","TRUE","Finish","Matte Graphite","LR-0028","2500","shopify","25","deny","manual","494.00","","TRUE","TRUE","active"
"lumenred-lattice-desk-panel-9","Lumenred Lattice Desk Panel 9","<p>Lumenred Lattice Desk Panel 9 delivers clinical-style red and near-infrared coverage with 660/850nm diodes, 156 LEDs, and roughly 78W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/850nm</li><li>LEDs: 156</li><li>Power: 78W</li><li>Size: 12"" × 10""</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Desktop & Mid-Size","desktop-panels, 660/850nm, desktop, compact","TRUE","Finish","Brushed Steel","LR-0029","2500","shopify","25","deny","manual","529.00","608.00","TRUE","TRUE","active"
"lumenred-forge-desk-panel-10","Lumenred Forge Desk Panel 10","<p>Lumenred Forge Desk Panel 10 delivers clinical-style red and near-infrared coverage with 630/660/850nm diodes, 168 LEDs, and roughly 84W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/850nm</li><li>LEDs: 168</li><li>Power: 84W</li><li>Size: 14"" × 8""</li><li>Finish: Soft Black</li></ul>","Lumenred","Desktop & Mid-Size","desktop-panels, 630/660/850nm, desktop, compact","TRUE","Finish","Soft Black","LR-0030","2500","shopify","25","deny","manual","564.00","","TRUE","TRUE","active"
"lumenred-pulse-desk-panel-11","Lumenred Pulse Desk Panel 11","<p>Lumenred Pulse Desk Panel 11 delivers clinical-style red and near-infrared coverage with 660/810/850nm diodes, 180 LEDs, and roughly 90W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/810/850nm</li><li>LEDs: 180</li><li>Power: 90W</li><li>Size: 16"" × 9""</li><li>Finish: Arctic White</li></ul>","Lumenred","Desktop & Mid-Size","desktop-panels, 660/810/850nm, desktop, compact","TRUE","Finish","Arctic White","LR-0031","2500","shopify","25","deny","manual","599.00","689.00","TRUE","TRUE","active"
"lumenred-aura-desk-panel-12","Lumenred Aura Desk Panel 12","<p>Lumenred Aura Desk Panel 12 delivers clinical-style red and near-infrared coverage with 630/660/810/850nm diodes, 192 LEDs, and roughly 96W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/810/850nm</li><li>LEDs: 192</li><li>Power: 96W</li><li>Size: 18"" × 10""</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Desktop & Mid-Size","desktop-panels, 630/660/810/850nm, desktop, compact","TRUE","Finish","Matte Graphite","LR-0032","2500","shopify","25","deny","manual","634.00","","TRUE","TRUE","active"
"lumenred-vertex-desk-panel-13","Lumenred Vertex Desk Panel 13","<p>Lumenred Vertex Desk Panel 13 delivers clinical-style red and near-infrared coverage with 660nm diodes, 204 LEDs, and roughly 102W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660nm</li><li>LEDs: 204</li><li>Power: 102W</li><li>Size: 12"" × 8""</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Desktop & Mid-Size","desktop-panels, 660nm, desktop, compact","TRUE","Finish","Brushed Steel","LR-0033","2500","shopify","25","deny","manual","669.00","769.00","TRUE","TRUE","active"
"lumenred-halo-desk-panel-14","Lumenred Halo Desk Panel 14","<p>Lumenred Halo Desk Panel 14 delivers clinical-style red and near-infrared coverage with 850nm diodes, 216 LEDs, and roughly 108W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 850nm</li><li>LEDs: 216</li><li>Power: 108W</li><li>Size: 14"" × 9""</li><li>Finish: Soft Black</li></ul>","Lumenred","Desktop & Mid-Size","desktop-panels, 850nm, desktop, compact","TRUE","Finish","Soft Black","LR-0034","2500","shopify","25","deny","manual","704.00","","TRUE","TRUE","active"
"lumenred-stride-desk-panel-15","Lumenred Stride Desk Panel 15","<p>Lumenred Stride Desk Panel 15 delivers clinical-style red and near-infrared coverage with 660/850nm diodes, 228 LEDs, and roughly 114W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/850nm</li><li>LEDs: 228</li><li>Power: 114W</li><li>Size: 16"" × 10""</li><li>Finish: Arctic White</li></ul>","Lumenred","Desktop & Mid-Size","desktop-panels, 660/850nm, desktop, compact","TRUE","Finish","Arctic White","LR-0035","2500","shopify","25","deny","manual","739.00","850.00","TRUE","TRUE","active"
"lumenred-pulse-face-mask-1","Lumenred Pulse Face Mask","<p>Lumenred Pulse Face Mask delivers clinical-style red and near-infrared coverage with 660nm diodes, 80 LEDs, and roughly 18W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660nm</li><li>LEDs: 80</li><li>Power: 18W</li><li>Size: One size / adjustable strap</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Face & Masks","face-masks, 660nm, mask, skin","TRUE","Finish","Matte Graphite","LR-0036","2500","shopify","25","deny","manual","179.00","211.00","TRUE","TRUE","active"
"lumenred-aura-face-mask-2","Lumenred Aura Face Mask","<p>Lumenred Aura Face Mask delivers clinical-style red and near-infrared coverage with 850nm diodes, 90 LEDs, and roughly 20W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 850nm</li><li>LEDs: 90</li><li>Power: 20W</li><li>Size: One size / adjustable strap</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Face & Masks","face-masks, 850nm, mask, skin","TRUE","Finish","Brushed Steel","LR-0037","2500","shopify","25","deny","manual","207.00","244.00","TRUE","TRUE","active"
"lumenred-vertex-face-mask-3","Lumenred Vertex Face Mask","<p>Lumenred Vertex Face Mask delivers clinical-style red and near-infrared coverage with 660/850nm diodes, 100 LEDs, and roughly 22W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/850nm</li><li>LEDs: 100</li><li>Power: 22W</li><li>Size: One size / adjustable strap</li><li>Finish: Soft Black</li></ul>","Lumenred","Face & Masks","face-masks, 660/850nm, mask, skin","TRUE","Finish","Soft Black","LR-0038","2500","shopify","25","deny","manual","235.00","277.00","TRUE","TRUE","active"
"lumenred-halo-face-mask-4","Lumenred Halo Face Mask","<p>Lumenred Halo Face Mask delivers clinical-style red and near-infrared coverage with 630/660/850nm diodes, 110 LEDs, and roughly 24W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/850nm</li><li>LEDs: 110</li><li>Power: 24W</li><li>Size: One size / adjustable strap</li><li>Finish: Arctic White</li></ul>","Lumenred","Face & Masks","face-masks, 630/660/850nm, mask, skin","TRUE","Finish","Arctic White","LR-0039","2500","shopify","25","deny","manual","263.00","310.00","TRUE","TRUE","active"
"lumenred-stride-face-mask-5","Lumenred Stride Face Mask","<p>Lumenred Stride Face Mask delivers clinical-style red and near-infrared coverage with 660nm diodes, 120 LEDs, and roughly 26W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660nm</li><li>LEDs: 120</li><li>Power: 26W</li><li>Size: One size / adjustable strap</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Face & Masks","face-masks, 660nm, mask, skin","TRUE","Finish","Matte Graphite","LR-0040","2500","shopify","25","deny","manual","291.00","343.00","TRUE","TRUE","active"
"lumenred-nova-face-mask-6","Lumenred Nova Face Mask","<p>Lumenred Nova Face Mask delivers clinical-style red and near-infrared coverage with 850nm diodes, 130 LEDs, and roughly 28W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 850nm</li><li>LEDs: 130</li><li>Power: 28W</li><li>Size: One size / adjustable strap</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Face & Masks","face-masks, 850nm, mask, skin","TRUE","Finish","Brushed Steel","LR-0041","2500","shopify","25","deny","manual","319.00","376.00","TRUE","TRUE","active"
"lumenred-ridge-face-mask-7","Lumenred Ridge Face Mask","<p>Lumenred Ridge Face Mask delivers clinical-style red and near-infrared coverage with 660/850nm diodes, 140 LEDs, and roughly 30W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/850nm</li><li>LEDs: 140</li><li>Power: 30W</li><li>Size: One size / adjustable strap</li><li>Finish: Soft Black</li></ul>","Lumenred","Face & Masks","face-masks, 660/850nm, mask, skin","TRUE","Finish","Soft Black","LR-0042","2500","shopify","25","deny","manual","347.00","409.00","TRUE","TRUE","active"
"lumenred-solace-face-mask-8","Lumenred Solace Face Mask","<p>Lumenred Solace Face Mask delivers clinical-style red and near-infrared coverage with 630/660/850nm diodes, 150 LEDs, and roughly 32W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 630/660/850nm</li><li>LEDs: 150</li><li>Power: 32W</li><li>Size: One size / adjustable strap</li><li>Finish: Arctic White</li></ul>","Lumenred","Face & Masks","face-masks, 630/660/850nm, mask, skin","TRUE","Finish","Arctic White","LR-0043","2500","shopify","25","deny","manual","375.00","443.00","TRUE","TRUE","active"
"lumenred-axiom-face-mask-9","Lumenred Axiom Face Mask","<p>Lumenred Axiom Face Mask delivers clinical-style red and near-infrared coverage with 660nm diodes, 160 LEDs, and roughly 34W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660nm</li><li>LEDs: 160</li><li>Power: 34W</li><li>Size: One size / adjustable strap</li><li>Finish: Matte Graphite</li></ul>","Lumenred","Face & Masks","face-masks, 660nm, mask, skin","TRUE","Finish","Matte Graphite","LR-0044","2500","shopify","25","deny","manual","403.00","476.00","TRUE","TRUE","active"
"lumenred-ember-face-mask-10","Lumenred Ember Face Mask","<p>Lumenred Ember Face Mask delivers clinical-style red and near-infrared coverage with 850nm diodes, 170 LEDs, and roughly 36W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 850nm</li><li>LEDs: 170</li><li>Power: 36W</li><li>Size: One size / adjustable strap</li><li>Finish: Brushed Steel</li></ul>","Lumenred","Face & Masks","face-masks, 850nm, mask, skin","TRUE","Finish","Brushed Steel","LR-0045","2500","shopify","25","deny","manual","431.00","509.00","TRUE","TRUE","active"
"lumenred-lattice-face-mask-11","Lumenred Lattice Face Mask","<p>Lumenred Lattice Face Mask delivers clinical-style red and near-infrared coverage with 660/850nm diodes, 180 LEDs, and roughly 38W irradiance class output. Built for consistent home and studio sessions.</p><ul><li>Wavelength: 660/850nm</li><li>LEDs: 180</li><li>Power: 38W</li><li>Size: One size / adjustable strap</li><li>Finish: Soft Black</li></ul>","Lumenred","Face & Masks","face-masks, 660/850nm, mask, skin","TRUE","Finish","Soft Black","LR-0046","2500","shopify","25","deny","manual","459.00","542.00","TRUE","TRUE","active"
